Column1,title,budget,popularity,release_date,revenue,runtime,vote_average,vote_count,star_power,first_genre
311,Les Misérables,67934233,13.52408,2012,492032918,157,7.2,1925,1,Drama
312,Life of Pi,133641114,14.045042,2012,678247106,127,7.2,5912,1,Action & Adventure
313,End of Watch,7795731,7.452789999999999,2012,53597196,109,7.2,1186,1,Drama
314,The Girl with the Dragon Tattoo,102325477,8.907829,2011,264474330,158,7.2,2479,1,Drama
315,Fantastic Beasts and Where to Find Them,191775000,41.051421000000005,2016,862286809,133,7.2,5612,1,Action & Adventure
316,True Grit,44551123,10.730765,2010,295768960,110,7.2,1701,2,Classics
317,The Fighter,29309949,14.141836999999999,2010,109756392,116,7.2,1512,1,Drama
318,Sicario,32367088,19.511221,2015,90655701,121,7.2,2465,1,Action & Adventure
319,Wonder Woman,155443900,294.337037,2017,856068626,141,7.2,5025,2,Action & Adventure
321,The Blind Side,34570163,12.753109,2009,368599368,129,7.2,1626,1,Comedy
322,Law Abiding Citizen,63179953,16.639047,2009,151024795,109,7.2,1522,1,Drama
323,The Lego Batman Movie,83459812,17.070748000000002,2017,325441506,104,7.2,1473,0,Action & Adventure
324,Bridge of Spies,43156118,13.707888,2015,178535078,141,7.2,2633,1,Drama
