title,budget,popularity,release_date,revenue,runtime,vote_average,vote_count
The Hangover,35000000,23.947351,2009,459270619,100,7.2,6324
Brooklyn,11000000,7.991613,2015,62076141,111,7.2,1235
Nocturnal Animals,22500000,18.908782,2016,29252978,116,7.2,1990
Taken,25000000,16.367481,2008,226830568,93,7.2,4444
Hell or High Water,12000000,12.565896,2016,37589296,102,7.2,1304
Gone Baby Gone,19000000,6.148516000000001,2007,34619699,113,7.2,1034
Stardust,70000000,14.784525,2007,135560026,127,7.2,1215
Arrival,47000000,30.83786,2016,203388186,113,7.2,5729
Scott Pilgrim vs. the World,60000000,13.793301000000001,2010,47664559,112,7.2,2185
The Hurt Locker,15000000,9.403724,2008,42000000,131,7.2,1881
The Devil's Advocate,57000000,10.920124000000001,1997,152944660,144,7.2,1414
A Nightmare on Elm Street,1800000,13.694713,1984,25504513,91,7.2,1212
Contact,90000000,14.374866,1997,171120329,150,7.2,1338
Black Hawk Down,92000000,10.064446,2001,172989651,144,7.2,1832
Interview with the Vampire,60000000,11.970205,1994,223664608,123,7.2,1558
Fear and Loathing in Las Vegas,18500000,9.220346000000001,1998,10680275,118,7.2,1321
Ocean's Eleven,85000000,12.114932000000001,2001,450717150,116,7.2,3857
First Blood,15000000,14.778884,1982,125212904,93,7.2,1523
Grease,6000000,7.8548990000000005,1978,181813770,110,7.2,1633
The Fugitive,44000000,10.089369999999999,1993,368875760,130,7.2,1240
Close Encounters of the Third Kind,20000000,10.610446000000001,1977,303788635,135,7.2,1122
The Emperor's New Groove,100000000,12.297375,2000,169327687,78,7.2,1544
Goldfinger,2500000,13.788839999999999,1964,124881062,110,7.2,1005
Who Framed Roger Rabbit,70000000,16.78596,1988,329803958,104,7.2,1466
The Little Mermaid,40000000,17.496832,1989,222300000,83,7.2,1921
Enemy at the Gates,68000000,10.704813,2001,96976270,131,7.2,1023
Home Alone,18000000,0.702543,1990,476684675,103,7.1,2487
Mission: Impossible - Rogue Nation,150000000,17.836882,2015,682330139,131,7.1,3274
The Social Network,40000000,16.972995,2010,224920315,120,7.1,3492
The Illusionist,40000000,11.494009,2006,86915017,110,7.1,1657
