Column1,title,rotten_tomatoes_link,star_count,audience_rating,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count,revenue,top_critic_review_count,review_count
592,Stagecoach,/m/1019774-stagecoach,61,86,14555,5,37,0,1103757,5,32
593,A Star Is Born,/m/1019828-star_is_born,57,77,2667,5,20,0,161000000,5,13
599,101 Dalmatians,/m/101_dalmatians,32,76,709186,6,47,1,320689294,6,38
601,The Sting,/m/1020130-sting,33,95,61635,9,55,4,159616327,9,41
602,A Streetcar Named Desire,/m/1020333-streetcar_named_desire,18,90,55080,10,55,1,8000000,10,43
603,Summer School,/m/1020451-summer_school,45,58,27843,5,18,11,35114428,4,16
604,Suspect,/m/1020659-suspect,48,58,6772,1,11,5,18782400,1,4
605,Suspicion,/m/1020660-suspicion,36,78,14706,7,30,1,4500000,7,21
606,Swing Time,/m/1020729-swing_time,41,87,7372,5,26,0,2600000,5,21
607,Target,/m/1020889-target,28,34,2399,0,5,2,73000,0,5
608,"Tarzan, the Ape Man",/m/1020897-tarzan_the_ape_man,12,19,3575,4,2,18,36565280,4,15
609,The Ten Commandments,/m/1021014-ten_commandments,17,73,7722,0,5,1,122700000,0,3
613,Thief,/m/1021230-thief,31,81,7192,4,28,2,4300000,4,22
614,The Thing,/m/1021244-thing,24,92,131833,9,52,10,19629760,9,55
618,The Three Musketeers,/m/1021339-three_musketeers,42,74,2323,1,7,2,53898845,1,5
634,The Time Machine,/m/1021500-time_machine,9,79,19456,3,27,8,123729176,3,21
636,Tommy,/m/1021648-tommy,24,72,30215,6,20,7,34251525,6,20
637,Top Secret!,/m/1021699-top_secret,48,80,41564,7,27,8,20458340,7,22
638,Touch of Evil,/m/1021749-touch_of_evil,33,92,31149,21,73,3,2247465,20,67
639,The Trip,/m/1022024-trip,22,53,2790,5,8,14,951179,5,18
642,Twelve O'Clock High,/m/1022172-twelve_oclock_high,29,87,6010,5,23,1,3225000,5,18
