,rotten_tomatoes_link,critic_top,review_content,movie_title
458,/m/1008588-gone_in_60_seconds,1,7,Gone in 60 Seconds
459,/m/1008623-goodbye_girl,1,11,The Goodbye Girl
460,/m/1008627-goodbye_mr_chips,0,12,"Goodbye, Mr. Chips"
461,/m/1008799-great_gatsby,7,28,The Great Gatsby
462,/m/1008852-great_race,2,15,The Great Race
463,/m/1008931-green_berets,2,8,The Green Berets
464,/m/1008968-grizzly,1,8,Grizzly
465,/m/1009027-gullivers_travels,0,9,Gulliver's Travels
466,/m/1009055-gunfighter,1,5,The Gunfighter
467,/m/1009058-gung_ho,6,13,Gung Ho
468,/m/1009076-gypsy,0,8,Gypsy
469,/m/1009096-hairspray,9,32,Hairspray
470,/m/1009113-halloween,10,64,Halloween
471,/m/1009123-hamlet,6,29,Hamlet
472,/m/1009131-hand,1,5,The Hand
473,/m/1009211-hard_times,2,7,Hard Times
474,/m/1009219-hardcore,1,12,Hardcore
475,/m/1009224-harder_they_fall,1,8,The Harder They Fall
476,/m/1009277-haunting,7,31,The Haunting
477,/m/1009293-hawaii,4,8,Hawaii
478,/m/1009399-heat,2,3,Heat
479,/m/1009425-heaven,1,2,Heaven
480,/m/1009427-heaven_can_wait,7,24,Heaven Can Wait
481,/m/1009437-heidi,2,11,Heidi
482,/m/1009583-hidden_fortress,4,23,The Hidden Fortress (kakushi-toride No San-akunin)
483,/m/1009645-hills_have_eyes,2,17,The Hills Have Eyes
484,/m/1009649-hindenburg,1,8,The Hindenburg
485,/m/1009691-hit,5,11,The Hit
486,/m/1009736-hole_in_the_head,0,6,A Hole in the Head
487,/m/100_bloody_acres_2013,13,38,100 Bloody Acres
488,/m/100_girls,0,4,100 Girls
489,/m/100_streets,8,39,100 Streets
490,/m/1010002-hound_of_the_baskervilles,0,8,The Hound of the Baskervilles
491,/m/1010004-hound_of_the_baskervilles,1,11,The Hound of the Baskervilles
492,/m/1010030-house_of_wax,6,31,House of Wax
493,/m/1010034-house_on_haunted_hill,3,20,House On Haunted Hill
494,/m/1010174-hud,4,22,Hud
495,/m/1010202-human_factor,1,6,The Human Factor
